Video_Index,Scenario_ID,Scenario,Group_ID,Throughput,Average_Travel_Time
1,0,"[{'duration': 60, 'str': 'GGGGGrrrrrGGGGGrrrrr', 'traffic_light': 'Green', 'road': 'NS'}, {'duration': 5, 'str': 'YYYYYrrrrrYYYYYrrrrr', 'traffic_light': 'Yellow', 'road': 'NS'}, {'duration': 50, 'str': 'rrrrrGGGGGrrrrrGGGGG', 'traffic_light': 'Green', 'road': 'EW'}, {'duration': 5, 'str': 'rrrrrYYYYYrrrrrYYYYY', 'traffic_light': 'Yellow', 'road': 'EW'}]",Static,8,62.333333333333336
1,0,"[{'duration': 30, 'str': 'GGGGGrrrrrrrrrrrrrrr', 'traffic_light': 'Green', 'road': 'N'}, {'duration': 5, 'str': 'YYYYYrrrrrrrrrrrrrrr', 'traffic_light': 'Yellow', 'road': 'N'}, {'duration': 30, 'str': 'rrrrrGGGGGrrrrrrrrrr', 'traffic_light': 'Green', 'road': 'S'}, {'duration': 5, 'str': 'rrrrrYYYYYrrrrrrrrrr', 'traffic_light': 'Yellow', 'road': 'S'}, {'duration': 30, 'str': 'rrrrrrrrrrGGGGGrrrrr', 'traffic_light': 'Green', 'road': 'E'}, {'duration': 5, 'str': 'rrrrrrrrrrYYYYYrrrrr', 'traffic_light': 'Yellow', 'road': 'E'}, {'duration': 5, 'str': 'rrrrrrrrrrrrrrrYYYYY', 'traffic_light': 'Yellow', 'road': 'W'}]",Group1,6,62.333333333333336
2,0,"[{'duration': 60, 'str': 'GGGGGrrrrrGGGGGrrrrr', 'traffic_light': 'Green', 'road': 'NS'}, {'duration': 5, 'str': 'YYYYYrrrrrYYYYYrrrrr', 'traffic_light': 'Yellow', 'road': 'NS'}, {'duration': 50, 'str': 'rrrrrGGGGGrrrrrGGGGG', 'traffic_light': 'Green', 'road': 'EW'}, {'duration': 5, 'str': 'rrrrrYYYYYrrrrrYYYYY', 'traffic_light': 'Yellow', 'road': 'EW'}]",Static,9,46.07692307692308
2,0,"[{'duration': 30, 'str': 'GGGGGrrrrrrrrrrrrrrr', 'traffic_light': 'Green', 'road': 'N'}, {'duration': 5, 'str': 'YYYYYrrrrrrrrrrrrrrr', 'traffic_light': 'Yellow', 'road': 'N'}, {'duration': 30, 'str': 'rrrrrGGGGGrrrrrrrrrr', 'traffic_light': 'Green', 'road': 'S'}, {'duration': 5, 'str': 'rrrrrYYYYYrrrrrrrrrr', 'traffic_light': 'Yellow', 'road': 'S'}, {'duration': 30, 'str': 'rrrrrrrrrrGGGGGrrrrr', 'traffic_light': 'Green', 'road': 'E'}, {'duration': 5, 'str': 'rrrrrrrrrrYYYYYrrrrr', 'traffic_light': 'Yellow', 'road': 'E'}, {'duration': 5, 'str': 'rrrrrrrrrrrrrrrYYYYY', 'traffic_light': 'Yellow', 'road': 'W'}]",Group1,5,42.8
3,0,"[{'duration': 60, 'str': 'GGGGGrrrrrGGGGGrrrrr', 'traffic_light': 'Green', 'road': 'NS'}, {'duration': 5, 'str': 'YYYYYrrrrrYYYYYrrrrr', 'traffic_light': 'Yellow', 'road': 'NS'}, {'duration': 50, 'str': 'rrrrrGGGGGrrrrrGGGGG', 'traffic_light': 'Green', 'road': 'EW'}, {'duration': 5, 'str': 'rrrrrYYYYYrrrrrYYYYY', 'traffic_light': 'Yellow', 'road': 'EW'}]",Static,7,45.86666666666667
3,0,"[{'duration': 24, 'str': 'GGGGGrrrrrGGGGGrrrrr', 'traffic_light': 'Green', 'road': 'NS'}, {'duration': 6, 'str': 'YYYYYrrrrrYYYYYrrrrr', 'traffic_light': 'Yellow', 'road': 'NS'}, {'duration': 24, 'str': 'rrrrrGGGGGrrrrrGGGGG', 'traffic_light': 'Green', 'road': 'EW'}, {'duration': 9, 'str': 'rrrrrYYYYYrrrrrYYYYY', 'traffic_light': 'Yellow', 'road': 'EW'}, {'duration': 12, 'str': 'Grrrrrrrrrrrrrrrrrrr', 'traffic_light': 'Left Turn', 'road': 'N'}, {'duration': 12, 'str': 'rrrrrGrrrrrrrrrrrrrr', 'traffic_light': 'Left Turn', 'road': 'S'}, {'duration': 12, 'str': 'rrrrrrrrrGrrrrrrrrrr', 'traffic_light': 'Left Turn', 'road': 'E'}, {'duration': 12, 'str': 'rrrrrrrrrrrrrrrGrrrr', 'traffic_light': 'Left Turn', 'road': 'W'}, {'duration': 12, 'str': 'GGGGGrrrrrGGGGGrrrrr', 'traffic_light': 'Green', 'road': 'NS'}]",Group7,11,43.33962264150944
4,0,"[{'duration': 60, 'str': 'GGGGGrrrrrGGGGGrrrrr', 'traffic_light': 'Green', 'road': 'NS'}, {'duration': 5, 'str': 'YYYYYrrrrrYYYYYrrrrr', 'traffic_light': 'Yellow', 'road': 'NS'}, {'duration': 50, 'str': 'rrrrrGGGGGrrrrrGGGGG', 'traffic_light': 'Green', 'road': 'EW'}, {'duration': 5, 'str': 'rrrrrYYYYYrrrrrYYYYY', 'traffic_light': 'Yellow', 'road': 'EW'}]",Static,6,45.61290322580645
4,0,"[{'duration': 10, 'str': 'rrrrrGrrrrrrrrrGrrrr', 'traffic_light': 'Left Turn', 'road': 'EW'}, {'duration': 50, 'str': 'rrrrrGGGGGrrrrrGGGGG', 'traffic_light': 'Green', 'road': 'EW'}, {'duration': 10, 'str': 'rrrrrYYYYYrrrrrYYYYY', 'traffic_light': 'Yellow', 'road': 'EW'}, {'duration': 50, 'str': 'GGGGGrrrrrGGGGGrrrrr', 'traffic_light': 'Green', 'road': 'NS'}, {'duration': 10, 'str': 'YYYYYrrrrrYYYYYrrrrr', 'traffic_light': 'Yellow', 'road': 'NS'}]",Group15,6,44.4125
5,0,"[{'duration': 60, 'str': 'GGGGGrrrrrGGGGGrrrrr', 'traffic_light': 'Green', 'road': 'NS'}, {'duration': 5, 'str': 'YYYYYrrrrrYYYYYrrrrr', 'traffic_light': 'Yellow', 'road': 'NS'}, {'duration': 50, 'str': 'rrrrrGGGGGrrrrrGGGGG', 'traffic_light': 'Green', 'road': 'EW'}, {'duration': 5, 'str': 'rrrrrYYYYYrrrrrYYYYY', 'traffic_light': 'Yellow', 'road': 'EW'}]",Static,9,46.11627906976744
5,0,"[{'duration': 30, 'str': 'GGGGGrrrrrrrrrrrrrrr', 'traffic_light': 'Green', 'road': 'N'}, {'duration': 5, 'str': 'YYYYYrrrrrrrrrrrrrrr', 'traffic_light': 'Yellow', 'road': 'N'}, {'duration': 30, 'str': 'rrrrrGGGGGrrrrrrrrrr', 'traffic_light': 'Green', 'road': 'S'}, {'duration': 5, 'str': 'rrrrrYYYYYrrrrrrrrrr', 'traffic_light': 'Yellow', 'road': 'S'}, {'duration': 30, 'str': 'rrrrrrrrrrGGGGGrrrrr', 'traffic_light': 'Green', 'road': 'E'}, {'duration': 5, 'str': 'rrrrrrrrrrYYYYYrrrrr', 'traffic_light': 'Yellow', 'road': 'E'}, {'duration': 5, 'str': 'rrrrrrrrrrrrrrrYYYYY', 'traffic_light': 'Yellow', 'road': 'W'}]",Group1,8,46.81318681318681
