Video_Index,Scenario_ID,Scenario,Group_ID,Throughput,Average_Travel_Time
1,0,"[{'duration': 60, 'str': 'GGGGGrrrrrGGGGGrrrrr', 'traffic_light': 'Green', 'road': 'NS'}, {'duration': 5, 'str': 'YYYYYrrrrrYYYYYrrrrr', 'traffic_light': 'Yellow', 'road': 'NS'}, {'duration': 50, 'str': 'rrrrrGGGGGrrrrrGGGGG', 'traffic_light': 'Green', 'road': 'EW'}, {'duration': 5, 'str': 'rrrrrYYYYYrrrrrYYYYY', 'traffic_light': 'Yellow', 'road': 'EW'}]",Static,57,42.80434782608695
1,0,"[{'duration': 30, 'str': 'GGGGGrrrrrrrrrrrrrrr', 'traffic_light': 'Green', 'road': 'N'}, {'duration': 5, 'str': 'YYYYYrrrrrrrrrrrrrrr', 'traffic_light': 'Yellow', 'road': 'N'}, {'duration': 30, 'str': 'rrrrrGGGGGrrrrrrrrrr', 'traffic_light': 'Green', 'road': 'S'}, {'duration': 5, 'str': 'rrrrrYYYYYrrrrrrrrrr', 'traffic_light': 'Yellow', 'road': 'S'}, {'duration': 30, 'str': 'rrrrrrrrrrGGGGGrrrrr', 'traffic_light': 'Green', 'road': 'E'}, {'duration': 5, 'str': 'rrrrrrrrrrYYYYYrrrrr', 'traffic_light': 'Yellow', 'road': 'E'}, {'duration': 5, 'str': 'rrrrrrrrrrrrrrrYYYYY', 'traffic_light': 'Yellow', 'road': 'W'}]",Group1,18,42.80434782608695
2,0,"[{'duration': 60, 'str': 'GGGGGrrrrrGGGGGrrrrr', 'traffic_light': 'Green', 'road': 'NS'}, {'duration': 5, 'str': 'YYYYYrrrrrYYYYYrrrrr', 'traffic_light': 'Yellow', 'road': 'NS'}, {'duration': 50, 'str': 'rrrrrGGGGGrrrrrGGGGG', 'traffic_light': 'Green', 'road': 'EW'}, {'duration': 5, 'str': 'rrrrrYYYYYrrrrrYYYYY', 'traffic_light': 'Yellow', 'road': 'EW'}]",Static,91,46.945736434108525
2,0,"[{'duration': 30, 'str': 'GGGGGrrrrrrrrrrrrrrr', 'traffic_light': 'Green', 'road': 'N'}, {'duration': 5, 'str': 'YYYYYrrrrrrrrrrrrrrr', 'traffic_light': 'Yellow', 'road': 'N'}, {'duration': 30, 'str': 'rrrrrGGGGGrrrrrrrrrr', 'traffic_light': 'Green', 'road': 'S'}, {'duration': 5, 'str': 'rrrrrYYYYYrrrrrrrrrr', 'traffic_light': 'Yellow', 'road': 'S'}, {'duration': 30, 'str': 'rrrrrrrrrrGGGGGrrrrr', 'traffic_light': 'Green', 'road': 'E'}, {'duration': 5, 'str': 'rrrrrrrrrrYYYYYrrrrr', 'traffic_light': 'Yellow', 'road': 'E'}, {'duration': 5, 'str': 'rrrrrrrrrrrrrrrYYYYY', 'traffic_light': 'Yellow', 'road': 'W'}]",Group1,47,40.20625
3,0,"[{'duration': 60, 'str': 'GGGGGrrrrrGGGGGrrrrr', 'traffic_light': 'Green', 'road': 'NS'}, {'duration': 5, 'str': 'YYYYYrrrrrYYYYYrrrrr', 'traffic_light': 'Yellow', 'road': 'NS'}, {'duration': 50, 'str': 'rrrrrGGGGGrrrrrGGGGG', 'traffic_light': 'Green', 'road': 'EW'}, {'duration': 5, 'str': 'rrrrrYYYYYrrrrrYYYYY', 'traffic_light': 'Yellow', 'road': 'EW'}]",Static,93,43.27509293680298
3,0,"[{'duration': 30, 'str': 'GGGGGrrrrrrrrrrrrrrr', 'traffic_light': 'Green', 'road': 'N'}, {'duration': 5, 'str': 'YYYYYrrrrrrrrrrrrrrr', 'traffic_light': 'Yellow', 'road': 'N'}, {'duration': 30, 'str': 'rrrrrGGGGGrrrrrrrrrr', 'traffic_light': 'Green', 'road': 'S'}, {'duration': 5, 'str': 'rrrrrYYYYYrrrrrrrrrr', 'traffic_light': 'Yellow', 'road': 'S'}, {'duration': 30, 'str': 'rrrrrrrrrrGGGGGrrrrr', 'traffic_light': 'Green', 'road': 'E'}, {'duration': 5, 'str': 'rrrrrrrrrrYYYYYrrrrr', 'traffic_light': 'Yellow', 'road': 'E'}, {'duration': 5, 'str': 'rrrrrrrrrrrrrrrYYYYY', 'traffic_light': 'Yellow', 'road': 'W'}]",Group1,45,40.656666666666666
4,0,"[{'duration': 60, 'str': 'GGGGGrrrrrGGGGGrrrrr', 'traffic_light': 'Green', 'road': 'NS'}, {'duration': 5, 'str': 'YYYYYrrrrrYYYYYrrrrr', 'traffic_light': 'Yellow', 'road': 'NS'}, {'duration': 50, 'str': 'rrrrrGGGGGrrrrrGGGGG', 'traffic_light': 'Green', 'road': 'EW'}, {'duration': 5, 'str': 'rrrrrYYYYYrrrrrYYYYY', 'traffic_light': 'Yellow', 'road': 'EW'}]",Static,114,42.144827586206894
4,0,"[{'duration': 20, 'str': 'rrrrrGrrrrrrrrrGrrrr', 'traffic_light': 'Left Turn', 'road': 'EW'}, {'duration': 30, 'str': 'rrrrrGGGGGrrrrrGGGGG', 'traffic_light': 'Green', 'road': 'EW'}, {'duration': 10, 'str': 'rrrrrYYYYYrrrrrYYYYY', 'traffic_light': 'Yellow', 'road': 'EW'}, {'duration': 20, 'str': 'GrrrrrrrrrGrrrrrrrrr', 'traffic_light': 'Left Turn', 'road': 'NS'}, {'duration': 30, 'str': 'GGGGGrrrrrGGGGGrrrrr', 'traffic_light': 'Green', 'road': 'NS'}, {'duration': 10, 'str': 'YYYYYrrrrrYYYYYrrrrr', 'traffic_light': 'Yellow', 'road': 'NS'}]",Group10,65,40.40120967741935
5,0,"[{'duration': 60, 'str': 'GGGGGrrrrrGGGGGrrrrr', 'traffic_light': 'Green', 'road': 'NS'}, {'duration': 5, 'str': 'YYYYYrrrrrYYYYYrrrrr', 'traffic_light': 'Yellow', 'road': 'NS'}, {'duration': 50, 'str': 'rrrrrGGGGGrrrrrGGGGG', 'traffic_light': 'Green', 'road': 'EW'}, {'duration': 5, 'str': 'rrrrrYYYYYrrrrrYYYYY', 'traffic_light': 'Yellow', 'road': 'EW'}]",Static,86,41.275310834813496
5,0,"[{'duration': 24, 'str': 'GGGGGrrrrrGGGGGrrrrr', 'traffic_light': 'Green', 'road': 'NS'}, {'duration': 6, 'str': 'YYYYYrrrrrYYYYYrrrrr', 'traffic_light': 'Yellow', 'road': 'NS'}, {'duration': 24, 'str': 'rrrrrGGGGGrrrrrGGGGG', 'traffic_light': 'Green', 'road': 'EW'}, {'duration': 9, 'str': 'rrrrrYYYYYrrrrrYYYYY', 'traffic_light': 'Yellow', 'road': 'EW'}, {'duration': 12, 'str': 'Grrrrrrrrrrrrrrrrrrr', 'traffic_light': 'Left Turn', 'road': 'N'}, {'duration': 12, 'str': 'rrrrrGrrrrrrrrrrrrrr', 'traffic_light': 'Left Turn', 'road': 'S'}, {'duration': 12, 'str': 'rrrrrrrrrGrrrrrrrrrr', 'traffic_light': 'Left Turn', 'road': 'E'}, {'duration': 12, 'str': 'rrrrrrrrrrrrrrrGrrrr', 'traffic_light': 'Left Turn', 'road': 'W'}, {'duration': 12, 'str': 'GGGGGrrrrrGGGGGrrrrr', 'traffic_light': 'Green', 'road': 'NS'}]",Group7,58,39.78526645768025
