Scenario_ID,Group_ID,Scenario_Description,Average_Travel_Time,Throughput
0,Group 1,"{'green': 30, 'yellow': 10, 'red': 20}",23.666666666666668,6
1,Group 1,"{'green': 35, 'yellow': 5, 'red': 20}",58.8,5
2,Group 1,"{'green': 40, 'yellow': 5, 'red': 15}",28.6,6
3,Group 1,"{'green': 45, 'yellow': 10, 'red': 5}",41.5,5
4,Group 1,"{'green': 25, 'yellow': 15, 'red': 20}",38.111111111111114,10
5,Group 1,"{'green': 50, 'yellow': 5, 'red': 5}",0,0
6,Group 1,"{'green': 20, 'yellow': 10, 'red': 30}",0,0
7,Group 1,"{'green': 33, 'yellow': 12, 'red': 15}",0,0
8,Group 1,"{'green': 28, 'yellow': 17, 'red': 15}",0,0
9,Group 1,"{'green': 37, 'yellow': 8, 'red': 15}",0,0
0,Group 2,"{'green': 20, 'yellow': 15, 'red': 25}",27.625,8
1,Group 2,"{'green': 25, 'yellow': 10, 'red': 25}",56.0,3
2,Group 2,"{'green': 30, 'yellow': 10, 'red': 20}",33.8,6
3,Group 2,"{'green': 35, 'yellow': 8, 'red': 17}",48.0,5
4,Group 2,"{'green': 40, 'yellow': 5, 'red': 15}",34.22222222222222,10
5,Group 2,"{'green': 45, 'yellow': 5, 'red': 10}",0,0
6,Group 2,"{'green': 50, 'yellow': 5, 'red': 5}",0,0
7,Group 2,"{'green': 22, 'yellow': 18, 'red': 20}",0,0
8,Group 2,"{'green': 27, 'yellow': 13, 'red': 20}",0,0
9,Group 2,"{'green': 33, 'yellow': 7, 'red': 20}",0,0
0,Group 3,"{'green': 15, 'yellow': 10, 'red': 35}",35.125,10
1,Group 3,"{'green': 20, 'yellow': 10, 'red': 30}",42.666666666666664,1
2,Group 3,"{'green': 25, 'yellow': 15, 'red': 20}",33.8,6
3,Group 3,"{'green': 30, 'yellow': 10, 'red': 20}",49.5,5
4,Group 3,"{'green': 35, 'yellow': 5, 'red': 20}",38.111111111111114,10
5,Group 3,"{'green': 40, 'yellow': 5, 'red': 15}",0,0
6,Group 3,"{'green': 45, 'yellow': 10, 'red': 5}",0,0
7,Group 3,"{'green': 50, 'yellow': 5, 'red': 5}",0,0
8,Group 3,"{'green': 28, 'yellow': 17, 'red': 15}",0,0
9,Group 3,"{'green': 32, 'yellow': 12, 'red': 16}",0,0
0,Group 4,"{'green': 25, 'yellow': 15, 'red': 20}",23.666666666666668,6
1,Group 4,"{'green': 30, 'yellow': 10, 'red': 20}",58.8,5
2,Group 4,"{'green': 35, 'yellow': 10, 'red': 15}",28.6,6
3,Group 4,"{'green': 40, 'yellow': 5, 'red': 15}",47.0,5
4,Group 4,"{'green': 45, 'yellow': 5, 'red': 10}",31.285714285714285,8
5,Group 4,"{'green': 50, 'yellow': 5, 'red': 5}",66.5,2
6,Group 4,"{'green': 20, 'yellow': 15, 'red': 25}",0,0
7,Group 4,"{'green': 28, 'yellow': 10, 'red': 22}",0,0
8,Group 4,"{'green': 32, 'yellow': 12, 'red': 16}",0,0
9,Group 4,"{'green': 37, 'yellow': 8, 'red': 15}",0,0
0,Group 5,"{'green': 22, 'yellow': 18, 'red': 20}",23.666666666666668,6
1,Group 5,"{'green': 25, 'yellow': 15, 'red': 20}",58.8,5
2,Group 5,"{'green': 30, 'yellow': 10, 'red': 20}",33.8,6
3,Group 5,"{'green': 35, 'yellow': 10, 'red': 15}",47.0,5
4,Group 5,"{'green': 40, 'yellow': 5, 'red': 15}",34.22222222222222,10
5,Group 5,"{'green': 45, 'yellow': 5, 'red': 10}",0,0
6,Group 5,"{'green': 50, 'yellow': 5, 'red': 5}",0,0
7,Group 5,"{'green': 28, 'yellow': 17, 'red': 15}",0,0
8,Group 5,"{'green': 32, 'yellow': 12, 'red': 16}",0,0
9,Group 5,"{'green': 37, 'yellow': 8, 'red': 15}",0,0
0,Group 6,"{'green': 20, 'yellow': 20, 'red': 20}",23.666666666666668,6
1,Group 6,"{'green': 25, 'yellow': 15, 'red': 20}",58.8,5
2,Group 6,"{'green': 30, 'yellow': 10, 'red': 20}",33.8,6
3,Group 6,"{'green': 35, 'yellow': 5, 'red': 20}",49.5,5
4,Group 6,"{'green': 40, 'yellow': 5, 'red': 15}",34.22222222222222,10
5,Group 6,"{'green': 45, 'yellow': 5, 'red': 10}",0,0
6,Group 6,"{'green': 50, 'yellow': 5, 'red': 5}",0,0
7,Group 6,"{'green': 28, 'yellow': 17, 'red': 15}",0,0
8,Group 6,"{'green': 32, 'yellow': 12, 'red': 16}",0,0
9,Group 6,"{'green': 37, 'yellow': 8, 'red': 15}",0,0
0,Group 7,"{'green': 15, 'yellow': 15, 'red': 30}",31.25,8
1,Group 7,"{'green': 20, 'yellow': 10, 'red': 30}",59.666666666666664,3
2,Group 7,"{'green': 25, 'yellow': 15, 'red': 20}",33.8,6
3,Group 7,"{'green': 30, 'yellow': 10, 'red': 20}",49.5,5
4,Group 7,"{'green': 35, 'yellow': 10, 'red': 15}",34.22222222222222,10
5,Group 7,"{'green': 40, 'yellow': 5, 'red': 15}",0,0
6,Group 7,"{'green': 45, 'yellow': 5, 'red': 10}",0,0
7,Group 7,"{'green': 50, 'yellow': 5, 'red': 5}",0,0
8,Group 7,"{'green': 28, 'yellow': 17, 'red': 15}",0,0
9,Group 7,"{'green': 33, 'yellow': 7, 'red': 20}",0,0
