Scenario_ID,Group_ID,Scenario_Description,Average_Travel_Time,Throughput
0,Group 1,"{'green': 30, 'yellow': 10, 'red': 20}",59.0,0
1,Group 1,"{'green': 35, 'yellow': 5, 'red': 20}",88.0,4
2,Group 1,"{'green': 40, 'yellow': 5, 'red': 15}",41.22222222222222,3
3,Group 1,"{'green': 45, 'yellow': 10, 'red': 5}",47.0,14
4,Group 1,"{'green': 25, 'yellow': 15, 'red': 20}",65.0,3
5,Group 1,"{'green': 50, 'yellow': 5, 'red': 5}",44.45454545454545,7
6,Group 1,"{'green': 20, 'yellow': 10, 'red': 30}",0,19
7,Group 1,"{'green': 33, 'yellow': 12, 'red': 15}",59.625,5
8,Group 1,"{'green': 28, 'yellow': 17, 'red': 15}",45.2,15
9,Group 1,"{'green': 37, 'yellow': 8, 'red': 15}",0,0
0,Group 2,"{'green': 20, 'yellow': 15, 'red': 25}",59.0,0
1,Group 2,"{'green': 25, 'yellow': 10, 'red': 25}",88.0,4
2,Group 2,"{'green': 30, 'yellow': 10, 'red': 20}",41.888888888888886,3
3,Group 2,"{'green': 35, 'yellow': 8, 'red': 17}",50.0,14
4,Group 2,"{'green': 40, 'yellow': 5, 'red': 15}",66.0,3
5,Group 2,"{'green': 45, 'yellow': 5, 'red': 10}",44.4,7
6,Group 2,"{'green': 50, 'yellow': 5, 'red': 5}",68.0,19
7,Group 2,"{'green': 22, 'yellow': 18, 'red': 20}",55.333333333333336,5
8,Group 2,"{'green': 27, 'yellow': 13, 'red': 20}",52.666666666666664,15
9,Group 2,"{'green': 33, 'yellow': 7, 'red': 20}",0,0
0,Group 3,"{'green': 15, 'yellow': 10, 'red': 35}",0,0
1,Group 3,"{'green': 20, 'yellow': 10, 'red': 30}",79.66666666666667,4
2,Group 3,"{'green': 25, 'yellow': 15, 'red': 20}",41.888888888888886,3
3,Group 3,"{'green': 30, 'yellow': 10, 'red': 20}",53.0,14
4,Group 3,"{'green': 35, 'yellow': 5, 'red': 20}",65.0,3
5,Group 3,"{'green': 40, 'yellow': 5, 'red': 15}",51.45454545454545,7
6,Group 3,"{'green': 45, 'yellow': 10, 'red': 5}",68.0,19
7,Group 3,"{'green': 50, 'yellow': 5, 'red': 5}",46.42857142857143,5
8,Group 3,"{'green': 28, 'yellow': 17, 'red': 15}",45.2,15
9,Group 3,"{'green': 32, 'yellow': 12, 'red': 16}",0,0
0,Group 4,"{'green': 25, 'yellow': 15, 'red': 20}",59.0,0
1,Group 4,"{'green': 30, 'yellow': 10, 'red': 20}",88.0,4
2,Group 4,"{'green': 35, 'yellow': 10, 'red': 15}",41.22222222222222,3
3,Group 4,"{'green': 40, 'yellow': 5, 'red': 15}",47.0,14
4,Group 4,"{'green': 45, 'yellow': 5, 'red': 10}",65.5,3
5,Group 4,"{'green': 50, 'yellow': 5, 'red': 5}",40.7,7
6,Group 4,"{'green': 20, 'yellow': 15, 'red': 25}",87.0,19
7,Group 4,"{'green': 28, 'yellow': 10, 'red': 22}",57.0,5
8,Group 4,"{'green': 32, 'yellow': 12, 'red': 16}",52.333333333333336,15
9,Group 4,"{'green': 37, 'yellow': 8, 'red': 15}",0,0
0,Group 5,"{'green': 22, 'yellow': 18, 'red': 20}",59.0,0
1,Group 5,"{'green': 25, 'yellow': 15, 'red': 20}",88.0,4
2,Group 5,"{'green': 30, 'yellow': 10, 'red': 20}",41.888888888888886,3
3,Group 5,"{'green': 35, 'yellow': 10, 'red': 15}",47.0,14
4,Group 5,"{'green': 40, 'yellow': 5, 'red': 15}",66.0,3
5,Group 5,"{'green': 45, 'yellow': 5, 'red': 10}",44.4,7
6,Group 5,"{'green': 50, 'yellow': 5, 'red': 5}",68.0,19
7,Group 5,"{'green': 28, 'yellow': 17, 'red': 15}",55.285714285714285,5
8,Group 5,"{'green': 32, 'yellow': 12, 'red': 16}",45.4,15
9,Group 5,"{'green': 37, 'yellow': 8, 'red': 15}",0,0
0,Group 6,"{'green': 20, 'yellow': 20, 'red': 20}",59.0,0
1,Group 6,"{'green': 25, 'yellow': 15, 'red': 20}",88.0,4
2,Group 6,"{'green': 30, 'yellow': 10, 'red': 20}",41.888888888888886,3
3,Group 6,"{'green': 35, 'yellow': 5, 'red': 20}",53.0,14
4,Group 6,"{'green': 40, 'yellow': 5, 'red': 15}",66.0,3
5,Group 6,"{'green': 45, 'yellow': 5, 'red': 10}",44.4,7
6,Group 6,"{'green': 50, 'yellow': 5, 'red': 5}",68.0,19
7,Group 6,"{'green': 28, 'yellow': 17, 'red': 15}",55.285714285714285,5
8,Group 6,"{'green': 32, 'yellow': 12, 'red': 16}",45.4,15
9,Group 6,"{'green': 37, 'yellow': 8, 'red': 15}",0,0
0,Group 7,"{'green': 15, 'yellow': 15, 'red': 30}",59.0,0
1,Group 7,"{'green': 20, 'yellow': 10, 'red': 30}",88.0,4
2,Group 7,"{'green': 25, 'yellow': 15, 'red': 20}",41.888888888888886,3
3,Group 7,"{'green': 30, 'yellow': 10, 'red': 20}",53.0,14
4,Group 7,"{'green': 35, 'yellow': 10, 'red': 15}",66.0,3
5,Group 7,"{'green': 40, 'yellow': 5, 'red': 15}",48.4,7
6,Group 7,"{'green': 45, 'yellow': 5, 'red': 10}",73.0,19
7,Group 7,"{'green': 50, 'yellow': 5, 'red': 5}",46.42857142857143,5
8,Group 7,"{'green': 28, 'yellow': 17, 'red': 15}",45.2,15
9,Group 7,"{'green': 33, 'yellow': 7, 'red': 20}",0,0
