Scenario_ID,Scenario,Best_Group_By_Throughput,Best_Throughput
0,"{'green': 30, 'yellow': 10, 'red': 20}",Group 1,0
1,"{'green': 35, 'yellow': 5, 'red': 20}",Group 1,4
2,"{'green': 40, 'yellow': 5, 'red': 15}",Group 1,3
3,"{'green': 45, 'yellow': 10, 'red': 5}",Group 1,14
4,"{'green': 25, 'yellow': 15, 'red': 20}",Group 1,3
5,"{'green': 50, 'yellow': 5, 'red': 5}",Group 1,7
6,"{'green': 20, 'yellow': 10, 'red': 30}",Group 1,19
7,"{'green': 33, 'yellow': 12, 'red': 15}",Group 1,5
8,"{'green': 28, 'yellow': 17, 'red': 15}",Group 1,15
9,"{'green': 37, 'yellow': 8, 'red': 15}",Group 1,0
