Scenario_ID,Group_ID,Scenario_Description,Average_Travel_Time,Throughput
0,Group 1,"{'green': 60, 'yellow': 0, 'red': 0}",17.0,1
1,Group 1,"{'green': 50, 'yellow': 5, 'red': 5}",58.333333333333336,9
2,Group 1,"{'green': 40, 'yellow': 10, 'red': 10}",37.0,7
3,Group 1,"{'green': 45, 'yellow': 5, 'red': 10}",44.0,5
4,Group 1,"{'green': 30, 'yellow': 15, 'red': 15}",34.22222222222222,10
5,Group 1,"{'green': 35, 'yellow': 10, 'red': 15}",0,0
6,Group 1,"{'green': 25, 'yellow': 15, 'red': 20}",0,0
7,Group 1,"{'green': 40, 'yellow': 10, 'red': 10}",0,0
8,Group 1,"{'green': 60, 'yellow': 0, 'red': 0}",0,0
9,Group 1,"{'green': 50, 'yellow': 5, 'red': 5}",0,0
10,Group 1,"{'green': 40, 'yellow': 10, 'red': 10}",0,0
11,Group 1,"{'green': 45, 'yellow': 5, 'red': 10}",0,0
12,Group 1,"{'green': 30, 'yellow': 15, 'red': 15}",0,0
13,Group 1,"{'green': 35, 'yellow': 10, 'red': 15}",0,0
14,Group 1,"{'green': 25, 'yellow': 15, 'red': 20}",0,0
15,Group 1,"{'green': 40, 'yellow': 10, 'red': 10}",0,0
0,Group 2,"{'green': 20, 'yellow': 0, 'red': 30}",31.25,8
1,Group 2,"{'green': 50, 'yellow': 5, 'red': 5}",44.5,2
2,Group 2,"{'green': 10, 'yellow': 0, 'red': 40}",62.2,9
3,Group 2,"{'green': 40, 'yellow': 7, 'red': 5}",44.0,3
4,Group 2,"{'green': 20, 'yellow': 0, 'red': 0}",25.4,6
5,Group 2,"{'green': 50, 'yellow': 5, 'red': 5}",70.5,4
6,Group 2,"{'green': 20, 'yellow': 0, 'red': 0}",0,0
7,Group 2,"{'green': 50, 'yellow': 5, 'red': 5}",0,0
8,Group 2,"{'green': 20, 'yellow': 0, 'red': 0}",0,0
9,Group 2,"{'green': 50, 'yellow': 5, 'red': 5}",0,0
10,Group 2,"{'green': 20, 'yellow': 0, 'red': 0}",0,0
11,Group 2,"{'green': 50, 'yellow': 5, 'red': 5}",0,0
